Leading reasons for not purchasing beverage appliances online in Canada 2014,,
Leading reasons for not purchasing beverage domestic appliances online in Canada as of January 2014*,,
,,
Want to see and touch the products,34,in %
Didn't want to wait for delivery,29,in %
Shipping and handling costs,26,in %
Risk/inconvenience with return,23,in %
Online pricing was higher,16,in %
Don't like to shop online,15,in %
Using credit card doesn't feel safe,13,in %
Prefer to talk to the store associates,11,in %
I don't own a credit card,8,in %
Risk of losing the product in the mail,8,in %
Not available online,3,in %
Don't deliver to my area,3,in %
No particular reason,6,in %